Name	mz	rtime	Cel_pure_1-B,1_01_21144	Cel_pure_1-B,1_01_21149	Cel_pure_1-B,1_01_21154	Cel_pure_1-B,1_01_21159	Cel_pure_1-B,1_01_21164
Cluster_05099	393.2973604	29.46372535	1941.961914	1959.431641	1697.418335	1157.96228	1152.967285
Cluster_05100	393.2979622	40.12398662	18552.21289	17762.71289	17033.3457	19810.73828	19834.42578
Cluster_05105	393.34684	33.93232604	779.6768799	984.7333374	1022.61676	905.6400757	994.9593506
Cluster_05106	393.3732412	39.66667857	25091.16016	24591.22266	24481.36133	26549.93359	28104.58594
Cluster_05107	393.3727657	36.58981405	5694.93457	5934.884277	6629.317383	6920.571777	6733.089355
Cluster_05108	393.371705	40.87297308	1988.817139	1659.293335	1996.743286	1873.837891	2208.231201
Cluster_05110	393.3807682	36.58903273	1708.756226	2122.303955	2518.259033	2414.025635	2247.314697
Cluster_05111	393.3832002	39.65946504	2767.618652	3718.63916	4196.601563	3300.177734	2933.378906
Cluster_05113	394.1605985	3.96734086	1885.288818	2151.001709	2068.86792	2050.989258	2295.66626
Cluster_05114	394.1970987	7.289115267	2671.250977	2636.139404	2510.030029	2591.723389	2795.640625
Cluster_05116	394.2081965	25.59533204	13949.24414	14450.39844	12490.49219	12738.57227	12459.00195
Cluster_05119	394.2294581	8.97195	3570.552246	1829.366821	4551.943359	8009.760254	5707.300781
Cluster_05120	394.2335266	9.551682988	5375.589844	5769.645996	5054.132324	5463.967285	5664.51416
Cluster_05121	394.2173268	25.59669895	2946.19043	2670.155273	3204.301514	2634.324463	2424.850586
Cluster_05122	394.2339847	9.07702175	29840.40234	30006.86133	29083.38867	29946.25977	31538.17969
Cluster_05124	394.2350465	28.56934026	1946.377808	1124.184204	1142.981201	1270.876099	1334.543945
Cluster_05127	394.2707059	22.56996994	3192.124756	2747.040771	2924.295166	3384.69043	3409.134766
Cluster_05128	394.2956342	30.83131193	22723.49023	24882.27734	26290.23242	29713.12109	30890.39063
Cluster_05129	394.2954003	30.44817386	14417.60352	14544.71289	13909.41211	14885.28613	14073.78125
Cluster_05130	394.9664338	1.342403307	680.1386719	713.6168213	811.5188599	788.5205078	594.6686401
Cluster_05132	395.1920401	2.018206065	950.8207397	972.6291504	991.7723999	958.8632813	1145.630981
Cluster_05133	395.1904168	2.671815608	639.1675415	812.381897	991.2371826	937.9362793	841.8966675
Cluster_05135	395.2039807	1.577737305	1473.687622	1335.837891	1359.367676	1530.600952	1690.880127
Cluster_05138	395.2112735	1.580233333	755.3789673	697.786377	778.0333862	770.0189819	710.8325806
Cluster_05143	395.3884114	43.52135784	5167.085938	4921.72998	5147.092285	6101.882324	5929.869629
Cluster_05144	395.3888472	39.96089533	238691.8594	216262.9063	196496.4375	239975.2813	255417.9063
Cluster_05145	396.0688643	2.476207333	919.7960815	1219.089355	1201.841553	1324.605347	1693.387695
Cluster_05148	396.1053428	7.528369726	4985.227539	4872.613281	4413.755859	4633.617188	4475.464844
Cluster_05149	396.1402284	2.750997854	2061.165527	2267.965332	2728.432129	2627.960938	3101.143066
Cluster_05150	396.1614506	1.547086984	1917.339233	2000.721313	1989.337769	1871.569092	2026.313232
Cluster_05152	396.1775928	24.16078866	3881.546631	4012.224121	4293.594238	4204.960938	4589.847656
Cluster_05153	396.1781094	24.58703884	4433.924805	4538.245605	4097.672363	4398.222168	4647.789551
Cluster_05156	396.2127406	6.647820954	3685.019531	3959.217041	3591.211914	3673.140625	3888.376709
Cluster_05158	396.2417949	30.91861658	255949.9531	270333.6875	249750.2344	267709.2188	275637
Cluster_05159	396.3108768	22.93454084	779.6820068	868.9570923	853.2729492	966.0003052	931.8452759
Cluster_05160	396.3107944	32.8519048	4473.847656	5321.212891	4507.943359	5519.052246	5596.359863
Cluster_05164	396.3473516	34.18041159	3428.541016	4304.860352	4127.144531	4357.816406	4468.001465
Cluster_05165	396.3465064	37.05259571	1508.677002	1175.330444	1341.394653	1454.217773	1395.148315
Cluster_05172	397.2007508	23.53323094	2380.528076	2199.712891	2154.481201	2284.443848	2287.069092
Cluster_05173	397.2087535	1.579428568	867.2115479	1028.041504	886.4893799	888.0005493	951.1013794
Cluster_05180	397.404565	42.79589313	50659.00781	50601.48828	54071.62891	58410.82031	60535.87891
Cluster_05181	397.4042221	39.5480377	2706.740479	2457.031006	2635.535156	2851.452881	2627.607422
Cluster_05182	398.1410396	3.140270151	660.1480713	833.576355	1044.756226	950.1494141	1092.797729
Cluster_05183	398.1538552	32.86420744	620.3745117	827.0780029	623.8344116	762.3861084	757.8203735
Cluster_05185	398.1936331	27.67010063	7818.916992	5480.220215	4668.660156	4663.190918	4900.764648
